kappa_scores_mean,maes_mean,train_loss_gra,validation_loss_gra,kappa_gra,mae_gra
0.13097920751431824,1.0280511,3.453740066204708,1.3023730929626804,0.13097920751431824,1.0280511
0.5029455423517264,0.9301823,1.7440740585168237,1.1338978152909058,0.5029455423517264,0.9301823
0.5145790382988047,0.9021164,1.4597419381609567,1.0310158247289052,0.5145790382988047,0.9021164
0.47093329520187766,1.0696648,1.2612452208973748,1.4427819597369578,0.47093329520187766,1.0696648
0.5488657016641212,0.8943049,1.1346486136885578,1.0499468063728463,0.5488657016641212,0.8943049
0.5566886967509755,0.90181303,1.0267417283046867,1.0784673600756807,0.5566886967509755,0.90181303
0.48554677715172,1.023601,0.8986808768397904,1.3671172058033438,0.48554677715172,1.023601
0.4915079539580982,1.0532836,0.8063015330370149,1.409577692843939,0.4915079539580982,1.0532836
0.5453149093710814,0.98373514,0.7241853659818466,1.2735676177104274,0.5453149093710814,0.98373514
0.5817792331287506,0.9582265,0.6320657708848272,1.1994787395401316,0.5817792331287506,0.9582265
